factors,total_quantum_cycles,computation_time
"(2, (2, (11, (3, 3))))",37777,313341479
397,133,7957
"(2, 199)",148,11994
"(3, (19, 7))",26793,163704457
"(2, (2, (2, (2, (5, 5)))))",115670,682654923
401,133,3665
"(2, (3, 67))",13481,70927714
"(31, 13)",11986,77892109
"(2, (2, 101))",163,7136
"(5, (3, ((3, 3), 3)))",118487,758150825
"(2, (7, 29))",175,21874
"(37, 11)",23814,157353089
"(2, (2, (2, (17, 3))))",13483,99104477
409,133,7814
"(2, (41, 5))",13503,90746285
"(137, 3)",11966,88846854
"(2, (2, 103))",163,6410
"(7, 59)",23788,134147312
"(2, ((3, 3), 23))",45886,292890917
"(5, 83)",188,23312
"(2, (2, (2, (2, (2, 13)))))",156,20342
"(3, 139)",166,15580
"(2, (11, 19))",26801,171272320
419,133,2751
"(2, (2, (5, (3, 7))))",13473,52354652
421,133,6059
"(2, 211)",148,7625
"(3, (47, 3))",25299,143698377
"(2, (2, (2, 53)))",178,8146
"(17, (5, 5))",12015,49336265
"(2, (3, 71))",13481,50045706
"(61, 7)",11988,53315345
"(2, (2, 107))",163,8424
"(3, (13, 11))",195,41890
"(2, (43, 5))",13503,53089946
431,133,4538
"(2, (2, (2, (2, ((3, 3), 3)))))",55959,370037644
433,133,3826
"(2, (31, 7))",40075,213386619
"(3, (5, 29))",193,71751
"(2, (2, 109))",163,11845
"(19, 23)",106410,594102757
"(2, (73, 3))",13481,52605426
439,133,4486
"(2, (2, (2, (5, 11))))",181,52546
"(3, (3, (7, 7)))",66676,371947566
"(2, (13, 17))",13501,51372097
443,133,4371
"(2, (2, (37, 3)))",26796,140501517
"(89, 5)",11988,76190733
"(2, 223)",148,7896
"(3, 149)",166,65120
"(2, (2, (2, (2, (2, (2, 7))))))",145,17313
449,133,3440
"(2, ((5, 5), (3, 3)))",152791,860067007
"(41, 11)",12014,63089582
"(2, (2, 113))",163,10657
"(3, 151)",47366,263328000
"(2, 227)",148,6758
"(5, (7, 13))",25291,169977164
"(2, (2, (2, (19, 3))))",13483,67711322
457,133,3030
"(2, 229)",148,4299
"(3, (17, (3, 3)))",13504,51922111
"(2, (2, (5, 23)))",190,18012
461,133,3785
"(2, ((3, 11), 7))",13484,53660117
463,133,4752
"(2, (2, (2, (2, 29))))",165,12835
"((5, 31), 3)",37093,213454327
"(2, 233)",148,10250
467,133,4382
"(2, (2, (13, (3, 3))))",72477,423106303
"(67, 7)",11988,66928214
"(2, (5, 47))",26803,174611693
"(3, 157)",166,30986
"(2, (2, (2, 59)))",178,7019
"(11, 43)",12014,51638589
"(2, (3, 79))",26781,122864244
"((5, 5), 19)",54015,293656394
"(2, (2, (17, 7)))",13490,70547194
"((3, 3), 53)",24499,142711772
"(2, 239)",148,5298
479,133,2266
"(2, (2, (2, (2, (2, (3, 5))))))",163,16214
"(13, 37)",12014,60550904
"(2, 241)",148,7222
"(7, (3, 23))",25293,118498541
"(2, (2, (11, 11)))",385892,1988523908
"(97, 5)",11988,49298677
"(2, (3, (3, (3, (3, 3)))))",31680,211258850
487,133,2931
"(2, (2, (2, 61)))",178,11782
"(3, 163)",23766,130897916
"(2, (5, (7, 7)))",13480,48358473
491,133,2998
"(2, (2, (3, 41)))",196,13147
"(17, 29)",12010,69702857
"(2, (13, 19))",201,55873
"(5, (11, (3, 3)))",12002,70076756
"(2, (2, (2, (2, 31))))",165,19947
"(7, 71)",82788,478283046
"(2, (3, 83))",181,12316
499,133,2097
"(2, (2, (5, (5, 5))))",37295,224463161
"(3, 167)",166,24285
"(2, 251)",148,8270
503,133,3895
