factors,total_quantum_cycles,computation_time
"(2, (2, (2, 1151)))",178,9202
9209,133,3963
"(2, (5, (3, 307)))",10736,89694859
"(151, 61)",27766,314039518
"(2, (2, (7, (7, 47))))",118973,842593558
"(83, (3, 37))",299,42459
"(2, (17, 271))",33753,307839587
"((97, 5), 19)",17593,125198459
"(2, (2, (2, (2, (2, (2, (2, (2, (2, (2, (3, 3)))))))))))",8316,56243036
"(13, 709)",33214,354772258
"(2, (11, 419))",6929,72640954
"(7, (439, 3))",16721,152698551
"(2, (2, (5, 461)))",24518,164470452
9221,133,4123
"(2, (3, (29, 53)))",29586,248746221
"(23, 401)",93738,1043456475
"(2, (2, (2, 1153)))",178,8773
"(41, ((3, (5, 3)), 5))",19109,100079571
"(2, (7, 659))",40403,491418996
9227,133,4832
"(2, (2, (3, 769)))",8296,63117385
"(11, 839)",11214,122374853
"(2, (5, (13, 71)))",27984,200793798
"(3, (181, 17))",16471,125562376
"(2, (2, (2, (2, 577))))",193,10384
"(7, 1319)",27688,306596066
"(2, ((3, ((3, 3), (3, 3))), 19))",33585,189939452
"(5, 1847)",16688,267047244
"(2, (2, 2309))",163,14404
"(3, 3079)",5666,52959353
"(2, (149, 31))",73953,768464440
9239,133,5116
"(2, (2, (2, (7, (5, (11, 3))))))",40169,247123602
9241,133,7800
"(2, 4621)",148,8953
"((3, (13, 3)), 79)",13580,68315669
"(2, (2, 2311))",163,20009
"(5, (43, 43))",174921,1663061532
"(2, (67, (3, 23)))",20286,150289521
"(7, 1321)",188,12202
"(2, (2, (2, (2, (2, (17, 17))))))",283485,1662916118
"(3, 3083)",11166,116744327
"(2, (5, (5, (37, 5))))",40213,212021328
"(11, (29, 29))",572791,3837672615
"(2, (2, (3, (3, 257))))",229,22021
"(487, 19)",44238,594009386
"(2, (7, 661))",20303,229698729
"(617, (3, 5))",16721,163026698
"(2, (2, (2, (13, 89))))",9459,53324655
9257,133,5429
"(2, (3, 1543))",20281,220326527
"(197, 47)",148766,1619441128
"(2, (2, (5, 463)))",16418,177771314
"(7, (3, (3, (3, (7, 7)))))",255764,1551674783
"(2, (11, 421))",229,15270
"(157, 59)",71766,754283943
"(2, (2, (2, (2, (193, 3)))))",10726,66704448
"(17, (109, 5))",21793,186950815
"(2, (113, 41))",27081,223083464
"(3, 3089)",5666,49618620
"(2, (2, (7, 331)))",16418,103754676
"(13, (31, 23))",38291,329748628
"(2, ((3, 3), (5, 103)))",33669,266778510
"(73, 127)",5766,66462424
"(2, (2, (2, (19, 61))))",9483,63684815
"((3, 281), 11)",5747,52938211
"(2, 4637)",148,6692
"(7, (5, (53, 5)))",54398,423629150
"(2, (2, (3, 773)))",196,44323
9277,133,3427
"(2, 4639)",148,4221
"(3, (3, 1031))",16699,174622824
"(2, (2, (2, (2, (2, (2, (5, 29)))))))",250,19013
9281,133,3671
"(2, (3, (13, (17, 7))))",13589,79979612
9283,133,5189
"(2, (2, (11, 211)))",8344,105875580
"(5, (3, 619))",29621,273973496
"(2, 4643)",148,22253
"(37, 251)",165266,1911789937
"(2, (2, (2, ((3, (3, 3)), 43))))",190977,1541529459
"(7, 1327)",38688,485187584
"(2, (5, 929))",203,18479
"(3, (19, 163))",62771,556490652
"(2, (2, (101, 23)))",97468,763492686
9293,133,5322
"(2, (3, 1549))",20281,176539153
"(5, (13, (13, 11)))",30098,226901200
"(2, (2, (2, (2, (7, 83)))))",31748,203334672
"(3, (3, 1033))",21899,229377471
"(2, 4649)",148,6267
"(17, 547)",66238,626321726
"(2, (2, (5, (5, (3, 31)))))",38678,217634170
"(131, 71)",33266,381973604
"(2, 4651)",148,7364
"(3, (7, 443))",8321,64692656
"(2, (2, (2, 1163)))",178,15396
"(5, 1861)",33188,341916521
"(2, (3, (11, (3, 47))))",71995,481730346
"(41, 227)",5766,62875619
"(2, (2, (13, 179)))",244,24172
"(29, (3, 107))",123771,729912374
"(2, (5, (19, (7, 7))))",290185,1730801097
9311,133,5775
"(2, (2, (2, (2, (2, (3, 97))))))",12041,85590761
"(67, 139)",247766,2687007357
"(2, 4657)",148,12004
"((3, 23), (5, ((3, 3), 3)))",18892,119634107
"(2, (2, (17, 137)))",48868,387336161
"(11, (7, (11, 11)))",446898,3042899753
"(2, (3, 1553))",181,23155
9319,133,5764
"(2, (2, (2, (5, 233))))",9433,60208060
"(3, (13, 239))",49147,406295496
"(2, (59, 79))",27081,284590991
9323,133,9688
"(2, (2, (3, (37, (3, 7)))))",21284,138546045
"(373, (5, 5))",182243,1583349244
"(2, 4663)",148,9879
"(3, 3109)",166,14040
"(2, (2, (2, (2, (11, 53)))))",63274,420233541
"(491, 19)",66238,676555718
"(2, (5, (3, 311)))",27936,177897140
"((43, 7), 31)",12093,67418336
"(2, (2, 2333))",163,7182
"(17, (61, (3, 3)))",16304,101353799
"(2, (13, 359))",53829,497012640
"(5, 1867)",33188,401429857
"(2, (2, (2, (3, 389))))",55411,399652607
9337,133,4768
"(2, (7, (23, 29)))",66180,464210694
"(3, (11, 283))",119147,823636490
"(2, (2, (5, 467)))",8318,47365532
9341,133,4076
"(2, ((3, 3), (3, 173)))",25547,188546204
9343,133,10928
"(2, (2, (2, (2, (2, (2, (2, 73)))))))",238,35909
"((3, 7), (89, 5))",34376,233321502
"(2, 4673)",148,29015
"(13, 719)",5714,91604669
"(2, (2, (3, (41, 19))))",42301,300138328
9349,133,9697
"(2, ((17, (5, 5)), 11))",71311,436193367
"(3, (3, 1039))",84099,700128596
"(2, (2, (2, (7, 167))))",9433,56765149
"(199, 47)",93766,1073205556
"(2, (3, 1559))",181,15275
"(5, 1871)",188,10023
"(2, (2, 2339))",163,5036
"(3, 3119)",166,10243
"(2, 4679)",148,4551
"(7, (7, 191))",57243,658279802
"(2, (2, (2, (2, (((5, 3), 3), 13)))))",18862,168241781
"(11, (37, 23))",32319,267491342
"(2, (31, 151))",47153,426292779
"(3, 3121)",27666,289588664
"(2, (2, 2341))",163,7077
"(5, 1873)",188,9812
"(2, (3, (7, 223)))",27836,182476868
"(17, (19, 29))",60815,547571370
"(2, (2, (2, 1171)))",178,9093
"(3, (347, (3, 3)))",30032,249954123
"(2, (937, 5))",40403,393693311
9371,133,9401
"(2, (2, (11, (71, 3))))",59277,463440966
"(13, (7, 103))",37269,300066537
"(2, (109, 43))",73981,646232647
"(3, ((5, 5), (5, (5, 5))))",254008,1746971693
"(2, (2, (2, (2, (2, 293)))))",208,22189
9377,133,6568
"(2, (3, (3, 521)))",6914,85530264
"(113, 83)",38766,457691412
"(2, (2, (5, (7, 67))))",273,43889
"(3, (53, 59))",70599,509552331
"(2, 4691)",148,7429
"(853, 11)",346714,4109837438
"(2, (2, (2, (3, (17, 23)))))",12088,84373892
"(5, 1877)",5688,90550212
"(2, (19, (13, 19)))",73806,602187666
"((3, 3), (7, 149))",66454,572113668
"(2, (2, 2347))",163,11946
"(41, 229)",225766,2678993660
"(2, (3, (5, 313)))",236,23198
9391,133,4072
"(2, (2, (2, (2, 587))))",193,9282
"(3, (31, 101))",13871,160600312
"(2, (7, (61, 11)))",10784,51309491
"(5, 1879)",11188,109954597
"(2, (2, (29, (3, (3, (3, 3))))))",91667,552392656
9397,133,6126
"(2, (37, 127))",53881,581341583
"(3, (241, 13))",13847,133538686
"(2, (2, (2, (5, (5, 47)))))",22788,159035466
"(79, (7, 17))",30093,342851031
"(2, (3, 1567))",13581,140804912
9403,133,4304
"(2, (2, 2351))",163,6096
"((5, (3, 3)), (19, 11))",99207,679949745
"(2, 4703)",148,16739
"(409, 23)",60738,651753354
"(2, (2, (2, (2, (2, (2, ((7, 3), 7)))))))",21233,118012038
"(97, 97)",88266,1063753262
"(2, (5, 941))",203,15394
"(3, 3137)",166,10267
"(2, (2, (181, 13)))",8344,80340150
9413,133,10953
"(2, (3, (3, 523)))",9414,69779597
"(5, (7, 269))",5743,51371260
"(2, (2, (2, (11, 107))))",9459,51927084
"(3, (73, 43))",30399,293085488
"(2, (17, 277))",140953,1469091781
9419,133,4646
"(2, (2, (3, (157, 5))))",31751,178129612
9421,133,7276
"(2, (7, 673))",13603,110812302
"(3, ((3, 3), 349))",38132,295105040
"(2, (2, (2, (2, (19, 31)))))",270,22064
"(13, (29, (5, 5)))",31796,170078957
"(2, (3, 1571))",181,14177
"(11, 857)",33214,369397717
"(2, (2, 2357))",163,6688
"(3, (7, 449))",38121,367617050
"(2, (5, (41, 23)))",10808,59825627
9431,133,7853
"(2, (2, (2, (3, (3, 131)))))",18644,116511839
9433,133,5389
"(2, (89, 53))",94081,943542322
"(5, (17, (37, 3)))",32026,227020363
"(2, (2, (337, 7)))",8318,73784780
9437,133,7653
"(2, (3, ((11, 11), 13)))",410491,2442725124
9439,133,11299
"(2, (2, (2, (2, (2, (5, 59))))))",23863,125469995
"((3, 3), 1049)",41299,360528008
"(2, 4721)",148,8237
"(7, (71, 19))",51793,348688547
"(2, (2, (3, 787)))",48796,421336271
"(5, 1889)",16688,184433508
"(2, 4723)",148,7202
"(3, (47, 67))",86799,565606350
"(2, (2, (2, 1181)))",178,9930
"(11, 859)",16714,152121067
"(2, ((5, (5, 7)), ((3, 3), 3)))",75579,492574368
"(13, 727)",11214,115301358
"(2, (2, (17, 139)))",40768,269918517
"(137, (3, 23))",11271,111627499
"(2, (163, 29))",253,15856
"(61, (31, 5))",19093,105266847
"(2, (2, (2, (2, (3, 197)))))",10726,77022228
"(7, (193, 7))",35143,292919912
"(2, 4729)",148,8374
"(3, (3, 1051))",54599,521178729
"(2, (2, ((5, 43), 11)))",21699,122352151
9461,133,10072
"(2, ((3, 83), 19))",20286,131562634
9463,133,5262
"(2, (2, (2, ((13, 7), 13))))",13562,95390035
"(3, (5, 631))",24521,166081764
"(2, 4733)",148,7813
9467,133,3096
"(2, (2, (3, (3, 263))))",29329,160198833
"(17, 557)",238,17452
"(2, (5, 947))",33703,303064082
"(41, ((3, 7), 11))",19102,136699341
"(2, (2, (2, (2, (2, (2, (2, (2, 37))))))))",253,29396
9473,133,7050
"(2, (3, 1579))",6881,60301756
"(379, (5, 5))",32743,302998591
"(2, (2, (23, 103)))",113668,867016629
"((13, 3), (3, (3, (3, (3, 3)))))",53579,316594036
"(2, (7, 677))",203,33291
9479,133,9194
"(2, (2, (2, (3, (5, 79)))))",12066,100463340
"(19, 499)",99238,1106904363
"(2, (11, 431))",60529,529755079
"(109, (3, 29))",22271,233847271
"(2, (2, 2371))",163,7304
"(5, (7, 271))",40643,309641034
"(2, ((3, 3), (17, 31)))",42291,247756430
"(53, 179)",165266,1701373892
"(2, (2, (2, (2, 593))))",193,10656
"(3, 3163)",5666,46401524
"(2, (13, (73, 5)))",18784,140847532
9491,133,8387
"(2, (2, (3, (113, 7))))",29351,274581365
"(11, 863)",44214,586488523
"(2, (47, 101))",67281,535373838
"((5, (3, 3)), 211)",11254,119255639
"(2, (2, (2, 1187)))",178,11717
9497,133,4673
"(2, (3, 1583))",20281,175686657
"(23, (7, 59))",79693,731692106
"(2, (2, ((5, 5), (5, 19))))",40300,253830603
"(3, 3167)",5666,89302657
"(2, 4751)",148,11011
"(13, (17, 43))",31819,185850616
"(2, (2, (2, (2, (2, ((3, (3, 3)), 11))))))",10755,60941845
"(5, 1901)",16688,213332532
"(2, (97, (7, 7)))",186558,1359638132
"(3, 3169)",166,37331
"(2, (2, 2377))",163,14564
"(37, 257)",38766,590188345
"(2, (5, (3, 317)))",236,37445
9511,133,7475
"(2, (2, (2, (41, 29))))",18683,146469384
"(3, (3, (7, 151)))",9454,53207773
"(2, (67, 71))",33781,340353531
"(5, (11, 173))",219169,2122558963
"(2, (2, (13, (61, 3))))",34977,265233579
"(31, 307)",38738,465433309
"(2, 4759)",148,15827
"(3, (19, 167))",146071,1486564881
"(2, (2, (2, (2, (17, (7, 5))))))",275,35189
9521,133,5574
"(2, (3, (3, (23, 23))))",248491,1743209940
"(89, 107)",93766,1320039700
"(2, (2, 2381))",163,13509
"(5, (3, (5, 127)))",10776,80218099
"(2, (11, 433))",40429,456525172
"(7, 1361)",16688,243144287
"(2, (2, (2, (3, 397))))",211,27830
"(13, 733)",5714,69601037
"(2, (5, 953))",60503,664204620
"(3, (3, (3, 353)))",35132,347084191
"(2, (2, 2383))",163,8155
9533,133,4664
"(2, (3, (7, 227)))",9436,69769766
"(5, 1907)",49688,626312951
"(2, (2, (2, (2, (2, (2, 149))))))",223,24448
"(3, (11, (17, 17)))",180924,1240164902
"(2, (19, 251))",13653,153599359
9539,133,4129
"(2, (2, (5, (53, (3, 3)))))",76884,722425980
"(7, (47, 29))",46293,353282058
"(2, (13, 367))",47129,496861899
"(3, 3181)",11166,169738452
"(2, (2, (2, 1193)))",178,10463
"(5, (23, 83))",103293,818963607
"(2, (3, (37, 43)))",27914,208619244
9547,133,15840
"(2, (2, (31, (7, 11))))",29771,250427250
"((3, 3), 1061)",92199,825261251
"(2, ((5, 5), 191))",72858,570620920
9551,133,15418
"(2, (2, (2, (2, (3, 199)))))",226,59383
"(233, 41)",11266,221234193
"(2, (17, 281))",253,149481
"((7, (3, 7)), (5, 13))",32379,230897722
"(2, (2, 2389))",163,8019
"(503, 19)",110238,1386947416
"(2, (((3, 3), 3), (3, 59)))",82280,535714630
"(79, (11, 11))",100695,944640838
"(2, (2, (2, (5, 239))))",9433,59698166
"(3, 3187)",5666,46682061
"(2, (7, 683))",27003,229908103
"(73, 131)",115766,1397272977
"(2, (2, (3, 797)))",16396,130770663
"(5, 1913)",5688,65283103
"(2, 4783)",148,7124
"((3, 3), 1063)",16699,173835825
"(2, (2, (2, (2, (2, (23, 13))))))",12061,76519072
"(7, 1367)",188,19543
"(2, ((5, 29), (3, 11)))",73489,436969654
"(17, 563)",110238,1333415311
"(2, (2, 2393))",163,6763
"(3, 3191)",22166,305826603
"(2, 4787)",148,8291
"(5, (5, 383))",44343,410568720
"(2, (2, (2, (19, ((3, 3), 7)))))",271,56005
"(157, 61)",77266,1026181915
"(2, 4789)",148,10447
"(3, (103, 31))",216371,1803443080
"(2, (2, (5, 479)))",16418,126935575
"(67, (11, 13))",52095,561693716
"(2, (3, 1597))",6881,112515120
"(7, (37, 37))",24221,205419815
"(2, (2, (2, (2, 599))))",193,13476
"(3, (3, (3, (5, 71))))",21287,116855108
"(2, 4793)",148,13874
9587,133,5152
"(2, (2, (3, (17, 47))))",18901,146064289
"(223, 43)",38766,450254092
"(2, (5, (7, 137)))",6958,70409709
"(3, (23, 139))",162871,1470026452
"(2, (2, (2, (109, 11))))",9459,79625705
"(181, 53)",16766,146548552
"(2, ((13, 41), (3, 3)))",36095,196637389
"((101, 5), 19)",17593,122965868
"(2, (2, 2399))",163,7761
"(7, (457, 3))",14921,150644616
"(2, 4799)",148,11747
"(29, 331)",238,50748
"(2, (2, (2, (2, (2, (2, (2, (3, (5, 5)))))))))",13548,79305987
9601,133,17384
"(2, 4801)",148,18578
"((3, 3), (97, 11))",17580,184073072
"(2, (2, (7, (7, (7, 7)))))",85050,653083702
"(5, (17, 113))",97793,930805138
"(2, (3, 1601))",6881,64575269
"(13, 739)",16714,204444508
"(2, (2, (2, 1201)))",178,11349
"(3, 3203)",16666,160001493
"(2, (5, (31, 31)))",84280,593400357
"(1373, 7)",11188,126481756
"(2, (2, ((3, 3), (89, 3))))",36362,243729200
9613,133,4701
"(2, ((11, 19), 23))",27006,230062955
"(3, (5, 641))",5721,66712644
"(2, (2, (2, (2, 601))))",193,9519
"(59, 163)",473266,5297953508
"(2, (7, (3, 229)))",27036,251701525
9619,133,4122
"(2, (2, (5, (13, 37))))",23899,157419443
"(3, (3, 1069))",11199,172776720
"(2, (17, 283))",13653,129611567
9623,133,4503
"(2, (2, (2, (401, 3))))",18611,128658020
"(((5, 5), 5), (7, 11))",189801,1494947713
"(2, 4813)",148,24845
"(3, 3209)",5666,81461279
"(2, (2, (29, 83)))",8368,62164131
9629,133,7105
"(2, ((3, 3), (5, 107)))",182069,1222874746
9631,133,6159
"(2, (2, (2, (2, (2, (7, 43))))))",263,27641
"(13, (13, (3, 19)))",37400,196654176
"(2, 4817)",148,19787
"(5, (47, 41))",29721,293342475
"(2, (2, (73, (3, 11))))",8377,73618691
"(23, 419)",16738,204776497
"(2, (61, 79))",53881,404682891
"(3, (17, ((3, (3, 3)), 7)))",102692,850183816
"(2, (2, (2, (5, 241))))",18633,150001660
"(31, 311)",238,58711
"(2, (3, 1607))",181,13699
9643,133,4683
"(2, (2, 2411))",163,6228
"(3, (5, 643))",32921,353175237
"(2, (53, (13, 7)))",20284,170073970
"(11, 877)",214,54526
"(2, (2, (2, (2, (67, (3, 3))))))",26959,220002035
9649,133,6829
"(2, (5, (5, 193)))",13658,129877338
"(3, 3217)",166,15434
"(2, (2, (19, 127)))",24568,183419140
"(7, (7, 197))",14943,119841564
"(2, (3, 1609))",47081,403340038
"(5, 1931)",22188,250235164
"(2, (2, (2, (17, 71))))",165883,1206792702
"((3, 3), (29, 37))",99304,710291166
"(2, (11, 439))",120829,1273799305
"(13, 743)",44214,535477883
"(2, (2, (3, (7, (23, 5)))))",8378,67054781
9661,133,8636
"(2, 4831)",148,9787
"(3, 3221)",22166,216202090
"(2, (2, (2, (2, (2, (2, 151))))))",223,14676
"(5, 1933)",5688,46659702
"(2, ((3, 3), (3, 179)))",25547,167163974
"(7, 1381)",11188,136447695
"(2, (2, 2417))",163,14241
"(3, (11, 293))",30347,342028035
"(2, (5, 967))",13603,141802093
"(19, 509)",27738,503092133
"(2, (2, (2, (31, (13, 3)))))",9464,86985932
"(17, 569)",242238,3365884896
"(2, (7, 691))",13603,116608488
"(5, (3, ((5, 3), 43)))",40409,353097462
"(2, (2, (41, 59)))",235196,2086862521
9677,133,4898
"(2, (3, 1613))",181,46861
9679,133,2994
"(2, (2, (2, (2, (5, (11, 11))))))",228477,1553860499
"(3, (7, 461))",70521,726244162
"(2, (47, 103))",214681,2523435717
"(23, 421)",93738,1196736621
"(2, (2, ((3, 269), 3)))",10729,66420698
"(5, (149, 13))",269,21742
"(2, (167, 29))",13653,136774259
"(3, 3229)",22166,258361912
"(2, (2, (2, (173, 7))))",46233,342014277
9689,133,12699
"(2, (3, (17, (5, 19))))",22813,198153922
"(11, 881)",22214,257916173
"(2, (2, 2423))",163,7933
"(3, (3, (3, 359)))",60232,385747894
"(2, (37, 131))",33781,341611348
"(5, (277, 7))",213643,1750212572
"(2, (2, (2, (2, (2, (3, 101))))))",12041,64851594
9697,133,4382
"(2, (13, 373))",40429,477995331
"(3, (53, 61))",74399,929905953
"(2, (2, (97, (5, 5))))",140073,993163125
"(89, 109)",121266,1693178597
"(2, (3, ((7, 7), (11, 3))))",125072,749791040
"(31, 313)",11238,130350553
"(2, (2, (2, 1213)))",178,10830
"(5, (3, 647))",46221,410693334
"(2, (23, 211))",20353,203122860
"(17, 571)",22238,272573151
"(2, (2, (3, 809)))",16396,113643146
"(73, (7, 19))",11293,133113555
"(2, (5, 971))",13603,123730609
"((3, 3), (13, 83))",86380,762814427
"(2, (2, (2, (2, 607))))",193,11336
"(883, 11)",38714,443599709
"(2, (3, 1619))",47081,453200699
"((29, 5), 67)",56693,362917300
"(2, (2, (7, 347)))",8318,56936449
"(3, (41, 79))",299,18650
"(2, (113, 43))",6981,56602709
9719,133,5512
"(2, (2, (2, (5, (3, (3, (3, (3, 3))))))))",75665,399632805
9721,133,5634
"(2, 4861)",148,6269
"(7, (463, 3))",9421,48848293
"(2, (2, (13, (17, 11))))",29797,208422942
"((5, 5), 389)",70243,743343831
"(2, (3, 1621))",6881,49549737
"(137, 71)",93766,1146768837
"(2, (2, (2, (2, (2, (2, (2, (2, (2, 19)))))))))",240,19012
"(3, (3, (23, 47)))",36004,243573663
"(2, (5, (7, 139)))",24158,170005933
"(37, 263)",159766,1936756621
"(2, (2, (3, 811)))",196,16687
9733,133,4303
"(2, (157, 31))",174453,1723401966
"(5, (3, (59, 11)))",25502,179617256
"(2, (2, (2, 1217)))",178,9838
"((7, 107), 13)",16269,113405645
"(2, ((3, 3), 541))",8314,80045784
9739,133,11432
"(2, (2, (5, 487)))",218,37917
"(3, (191, 17))",57271,559877245
"(2, 4871)",148,10346
9743,133,3564
"(2, (2, (2, (2, (3, (7, 29))))))",10753,58433083
"(5, 1949)",188,11770
"(2, (11, 443))",27029,258163728
"(3, (3, (3, (19, 19))))",167309,1063586464
"(2, (2, 2437))",163,15671
9749,133,7073
"(2, (5, (13, (3, (5, 5)))))",294,58607
"((7, 7), 199)",45643,244749044
"(2, (2, (2, (23, 53))))",64683,428179170
"(3, 3251)",166,13270
"(2, 4877)",148,5047
"(5, 1951)",188,7797
"(2, (2, (3, (3, 271))))",229,15092
"(11, 887)",66214,739942879
"(2, (17, (7, 41)))",7008,46683906
"(3, 3253)",166,12781
"(2, (2, (2, (2, (2, (5, 61))))))",12063,49948357
"(227, 43)",115766,1206817743
"(2, (3, 1627))",60481,549312702
"(13, 751)",16714,163869117
"(2, (2, 2441))",163,6611
"(3, (3, (5, (31, 7))))",22781,153772320
"(2, (19, 257))",47153,410004112
9767,133,10388
"(2, (2, (2, (37, (11, 3)))))",36092,202732621
9769,133,10601
"(2, (5, 977))",203,67277
"(3, 3257)",5666,60054309
"(2, (2, (7, 349)))",218,17097
"(337, 29)",38738,346855420
"(2, (3, ((3, 3), 181)))",25347,183399339
"((5, 5), (17, 23))",55420,315848521
"(2, (2, (2, (2, (13, 47)))))",21274,115012892
"(3, 3259)",5666,47564537
"(2, 4889)",148,5933
"(7, (11, 127))",20469,178403808
"(2, (2, ((5, 3), 163)))",16451,113529909
9781,133,4695
"(2, (73, 67))",6981,58933245
"(3, (3, 1087))",11199,89361915
"(2, (2, (2, 1223)))",178,7093
"(103, (19, 5))",5793,41302085
"(2, (3, (233, 7)))",27836,166204203
9787,133,4413
"(2, (2, 2447))",163,6327
"((3, 13), 251)",5747,42036421
"(2, (5, (89, 11)))",52784,268380952
9791,133,7717
"(2, (2, (2, (2, (2, (2, (17, (3, 3))))))))",13561,79560980
"(7, 1399)",93688,941619385
"(2, (59, 83))",147681,1473028897
"(5, (653, 3))",29621,306317966
"(2, (2, (31, 79)))",8368,72775429
"(97, 101)",88266,1146948987
"(2, (3, (23, 71)))",73886,583393571
"(41, 239)",258766,2829180871
"(2, (2, (2, ((5, 7), (7, 5)))))",26865,123506407
"(3, (3, (3, (3, (11, 11)))))",59994,366298590
"(2, (13, (13, 29)))",12082,53889412
9803,133,6951
"(2, (2, (3, (43, 19))))",27001,186551899
"((5, 53), 37)",39621,342777544
"(2, 4903)",148,7455
"(7, (3, 467))",221,35276
"(2, (2, (2, (2, 613))))",193,8146
"(17, 577)",27738,314051266
"(2, (5, (3, (3, 109))))",10769,56463631
9811,133,5077
"(2, (2, (223, 11)))",24544,227031066
"(3, 3271)",5666,83445918
"(2, (7, 701))",27003,309464895
"(5, (13, 151))",20469,197028959
"(2, (2, (2, (3, 409))))",211,34488
9817,133,7588
"(2, 4909)",148,8591
"(3, (3, 1091))",27399,296604207
"(2, (2, (5, 491)))",16418,153041890
"(23, (7, 61))",67093,739718571
"(2, (3, 1637))",6881,66516920
"(11, (19, 47))",127319,843721222
"(2, (2, (2, (2, (2, 307)))))",208,14676
"((5, 5), (3, 131))",16776,159934253
"(2, (17, (17, 17)))",167830,1490306477
"(31, 317)",77238,1077386900
"(2, (2, (13, (3, ((3, 7), 3)))))",26965,212920094
9829,133,9373
"(2, (5, 983))",203,25660
"((113, 29), 3)",13871,139555577
"(2, (2, (2, 1229)))",178,18723
9833,133,7491
"(2, (3, (11, 149)))",123262,974036155
"(7, (281, 5))",20443,174189494
"(2, (2, 2459))",163,22786
"(3, (3, 1093))",5699,115645616
"(2, 4919)",148,13392
9839,133,6271
"(2, (2, (2, (2, (41, (3, 5))))))",21281,196260573
"(757, 13)",33214,412819315
"(2, (37, (7, 19)))",20308,127097850
"((17, 3), 193)",13571,72765047
"(2, (2, (23, 107)))",575368,5200219256
"(5, (11, 179))",24169,180724311
"(2, ((3, 3), 547))",6914,97238843
"(229, 43)",11266,129923816
"(2, (2, (2, 1231)))",178,14974
"(3, (7, (7, 67)))",105976,853048729
"(2, (5, (197, 5)))",45158,374019163
9851,133,4496
"(2, (2, (3, 821)))",196,41885
"(167, 59)",60766,902510604
"(2, (13, 379))",40429,449367626
"((73, 5), (3, (3, 3)))",61787,436235274
"(2, (2, (2, (2, (2, (2, (2, (11, 7))))))))",241,42835
9857,133,7899
"(2, (53, (3, 31)))",13686,147046280
9859,133,8066
"(2, (2, (5, (17, 29))))",23895,165192350
"(3, (173, 19))",170371,1547953413
"(2, 4931)",148,9194
"(1409, 7)",33188,369986083
"(2, (2, (2, (3, (137, 3)))))",23844,129663869
"(5, 1973)",5688,50151397
"(2, 4933)",148,7087
"(11, (3, (23, 13)))",29400,193783509
"(2, (2, 2467))",163,11779
"(71, 139)",247766,2832991958
"(2, (3, (7, (5, 47))))",9491,59216274
9871,133,4703
"(2, (2, (2, (2, 617))))",193,9237
"(3, (3, 1097))",13799,154211497
"(2, 4937)",148,9034
"(5, (5, (5, 79)))",26798,210559633
"(2, (2, (3, 823)))",16396,114368767
"((17, 83), 7)",24193,158515443
"(2, (449, 11))",40429,312974646
"(3, (89, 37))",16499,111397909
"(2, (2, (2, ((13, 5), 19))))",22786,105424595
"(241, 41)",11266,139776491
"(2, (3, (3, (61, (3, 3)))))",10780,67154049
9883,133,9857
"(2, (2, (7, 353)))",218,29417
"(3, (5, 659))",51721,435677526
"(2, 4943)",148,6467
9887,133,2688
"(2, (2, (2, (2, (2, (3, 103))))))",23841,140925904
"((31, 29), 11)",42791,362968399
"(2, (23, (43, 5)))",308,49466
"((3, (3, 157)), 7)",17554,133675642
"(2, (2, 2473))",163,14323
"(761, 13)",33214,440806917
"(2, (3, (97, 17)))",27886,225779766
"(5, 1979)",188,53566
"(2, (2, (2, 1237)))",178,12783
"(3, 3299)",5666,67189732
"(2, (7, (7, 101)))",42258,246714640
"(521, 19)",11238,102217033
"(2, (2, ((3, 5), (11, (5, 3)))))",29787,159831077
9901,133,5587
"(2, 4951)",148,6849
"(3, 3301)",11166,123586637
"(2, (2, (2, (2, 619))))",193,13529
"(7, (5, 283))",35143,346929789
"(2, (3, (13, 127)))",262,34761
9907,133,6328
"(2, (2, 2477))",163,8975
"(3, ((3, 3), 367))",49432,499423931
"(2, (5, 991))",6903,60772661
"((17, 11), 53)",46619,383041644
"(2, (2, (2, (3, (59, 7)))))",115666,739750528
"(23, 431)",231238,2277189417
"(2, 4957)",148,7067
"(3, (5, 661))",221,15843
"(2, (2, (37, 67)))",113696,876500051
"(47, 211)",209266,2256241274
"(2, (29, ((3, 3), 19)))",60291,386925244
"(109, (13, 7))",13569,67207736
"(2, (2, (2, (2, (2, (2, (31, 5)))))))",13550,87223251
"(3, 3307)",16666,195532983
"(2, (11, (41, 11)))",12110,67021224
9923,133,8735
"(2, (2, (3, 827)))",16396,146308246
"((5, 5), 397)",73743,453090850
"(2, (7, 709))",33703,283561541
"(3, (3, 1103))",43599,456817658
"(2, (2, (2, (17, 73))))",18683,106322463
9929,133,5785
"(2, (3, (5, 331)))",18636,96623790
9931,133,4479
"(2, (2, (13, 191)))",56944,383455989
"(11, ((3, 43), 7))",35102,199624630
"(2, 4967)",148,10782
"(5, 1987)",188,41292
"(2, (2, (2, (2, ((3, (3, 3)), 23)))))",35064,217302744
"(19, 523)",44238,479821594
"(2, 4969)",148,9533
"(3, 3313)",5666,44156864
"(2, (2, (5, (7, 71))))",43773,215689624
9941,133,6915
"(2, (3, 1657))",20281,159911172
"(61, 163)",82766,899896701
"(2, (2, (2, (11, 113))))",259,18606
"((5, 3), (3, (17, 13)))",8407,46433717
"(2, 4973)",148,7516
"(7, (7, (29, 7)))",52070,444795306
